zona,id_cont,calle,altura,capacidad,ruta,turno,lat,long,the_geom,cartodb_id,created_at,updated_at
2,S/N,"ALSINA, VALENTIN AV.",S/N,3200,,,,,,1,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"ALSINA, VALENTIN AV.",S/N,3200,,,,,,2,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"ALSINA, VALENTIN AV.",S/N,3200,,,,,,3,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00227,"ALSINA, VALENTIN AV.",1450,3200,,,,,,4,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"BELLO, ANDRES",S/N,3200,,,,,,5,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"BELLO, ANDRES",S/N,3200,,,,,,6,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"BELLO, ANDRES",S/N,3200,,,,,,7,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00709,"BERRO, ADOLFO",3880,3200,,,,,,8,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"BULLRICH, INT. AV.",S/N,3200,,,,,,9,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"BULLRICH, INT. AV.",S/N,3200,,,,,,10,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00401,"BULLRICH, INT. AV.",S/N,3200,,,,,,11,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"CARCANO, RAMON J.",S/N,3200,,,,,,12,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00713,CASARES AV.,S/N,3200,,,,,,13,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00714,CASARES AV.,S/N,3200,,,,,,14,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 01044,COLOMBIA AV.,4344,3200,,,,,,15,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 01045,COLOMBIA AV.,4356,3200,,,,,,16,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 01046,COLOMBIA AV.,4382,3200,,,,,,17,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"DE LOS OMBUES, AV.",S/N,3200,,,,,,18,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"DE LOS OMBUES, AV.",S/N,3200,,,,,,19,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,DRAGONES,S/N,3200,,,,,,20,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00643,EL LAZO,3114,3200,,,,,,21,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00706,"FIGUEROA ALCORTA, PRES. AV",S/N,3200,,,,,,22,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00753,"FREIRE, MARCELINO, CNEL. AV",S/N,3200,,,,,,23,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"GUERRICO, INT.",S/N,3200,,,,,,24,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,IRAOLA AV.,S/N,3200,,,,,,25,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,IRAOLA AV.,S/N,3200,,,,,,26,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00760,IRAOLA AV.,S/N,3200,,,,,,27,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00761,IRAOLA AV.,S/N,3200,,,,,,28,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00762,"ISABEL, INFANTA AV.",S/N,3200,,,,,,29,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"MENDEZ, AGUSTIN",S/N,3200,,,,,,30,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00765,"MONT, PEDRO, PRES AV.",S/N,3200,,,,,,31,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"OBLIGADO, RAFAEL AV. COSTANERA",S/N,3200,,,,,,32,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"OBLIGADO, RAFAEL AV. COSTANERA",S/N,3200,,,,,,33,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00767,REPUBLICA DE LA INDIA,3355,3200,,,,,,34,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00768,"ROLDAN, BELISARIO AV.",S/N,3200,,,,,,35,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00769,"ROLDAN, BELISARIO AV.",S/N,3200,,,,,,36,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00770,"ROLDAN, BELISARIO AV.",S/N,3200,,,,,,37,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00771,"ROLDAN, BELISARIO AV.",S/N,3200,,,,,,38,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00772,"ROLDAN, BELISARIO AV.",S/N,3200,,,,,,39,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00482,SARMIENTO AV.,S/N,3200,,,,,,40,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00483,SARMIENTO AV.,S/N,3200,,,,,,41,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00484,SARMIENTO AV.,S/N,3200,,,,,,42,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00485,SARMIENTO AV.,S/N,3200,,,,,,43,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00784,SARMIENTO AV.,S/N,3200,,,,,,44,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,SARMIENTO AV.,S/N,3200,,,,,,45,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,L2 00481,SARMIENTO AV.,S/N,3200,,,,,,46,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
2,S/N,"VERTIZ, VIRREY AV. ",2200,3200,,,,,,47,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,JUNCAL,1515,3200,RDCLM14,MAÑANA,,,,48,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,"PACHECO DE MELO, JOSE ANDRES",1567,3200,RDCLM14,MAÑANA,,,,49,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,"PACHECO DE MELO, JOSE ANDRES",1682,3200,RDCLM14,MAÑANA,,,,50,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
1,S/N,YRIGOYEN HIPOLITO AV.,200,3200,RDCLN01,NOCHE,,,,51,2014-05-15 20:08:00.314202+00,2014-05-15 20:08:00.378467+00
