etapa,calle,nro,id,direccion_normalizada,x,y,lat,long,the_geom,cartodb_id,created_at,updated_at
CV,Av. Rafafel Obligado,,,,,,,,,67,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Jardin Japonés,,,,,,,,,1,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Cespedes,Plazoleta,,,,,,,,2,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Dorrego,Bullrich,,,,,,,,3,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Libertador,Cancha de Polo,,,,,,,,4,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Moldes,escuela (Zabala),,,,,,,,5,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),Costa Rica,1956,,,,,,,,6,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),Costa Rica,Armenia plaza,,,,,,,,7,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 5 (Oeste),Riglos,Rivadavia,,,,,,,,8,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 5 (Oeste),Bruno Giordano,634,,,,,,,,9,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Austria,3054,,,,,,,,10,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Pacheco de Melo,Plaza,,,,,,,,11,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Mansilla,(Inst. Dialisis),,,,,,,,12,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Zoo,,,,,,,,,13,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Zoo,,,,,,,,,14,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Zoo,,,,,,,,,15,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Zoo,,,,,,,,,16,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Zoo,,,,,,,,,17,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Zoo,,,,,,,,,18,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,SKATE PARK,,,,,,,,,19,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,20,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,21,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,22,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,23,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,24,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,25,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,26,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,27,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,28,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,29,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,30,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,31,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,32,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,33,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,34,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,35,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,36,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,37,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Chenaut,s. de la Indep),,"CHENAUT, INDALESIO, GRAL. AV.",,,,,,119,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1 Alt.(MTE),Av Sta Fe,,579,SANTA FE AV.,,,,,,164,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,52,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,53,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,54,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,55,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,56,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,57,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,58,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,59,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,38,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,39,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,40,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,41,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,42,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,43,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,44,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,45,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,46,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,47,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,48,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,49,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,50,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Palermo Bosques,,,,,,,,,51,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,60,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,61,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,62,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,63,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,64,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,65,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,66,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,68,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,69,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,70,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,71,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,72,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,Av. Rafafel Obligado,,,,,,,,,73,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 5 (Oeste),Yerbal,1520,,YERBAL 1520,101080.821282,100659.016873,-34.623328,-58.451515,0101000020E6100000A453573ECB394DC02E573F36C94F41C0,515,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Cerviño,3631,591,CERVIÑO AV. 3631,104856.396147,105505.70817,-34.579628,-58.410373,0101000020E6100000A9143B1A87344DC046EC1340314A41C0,281,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 6 (MTE) Colegiales,Zapiola,1540,,ZAPIOLA 1540,100529.992589,106436.567262,-34.571248,-58.457524,0101000020E61000004B917C25903A4DC0E4F38AA71E4941C0,584,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),ARMENIA,1685,,ARMENIA 1685,103298.653336,104407.725228,-34.589532,-58.427346,0101000020E6100000C8091346B3364DC005F9D9C8754B41C0,416,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
